--------------------------------------------------
Data   Type:		0
Resp.  Stat:		0
Sequence No:		1
Packet Data:
large.txt

CRC result: 4b96, 4b96

CRC result: c1f0, c1f0

CRC result: c506, c506

CRC result: 7392, 7392

CRC result: 80a5, 80a5

CRC result: 747a, 747a

CRC result: 7b7e, 7b7e

CRC result: 493, 493

CRC result: 67ac, 67ac

CRC result: f1a5, f1a5

CRC result: 9f8f, 9f8f

CRC result: 3d7c, 3d7c

CRC result: c84d, c84d

CRC result: 97e6, 97e6

CRC result: a6ad, a6ad

CRC result: e7b4, e7b4

CRC result: a625, a625

CRC result: 5bdd, 5bdd

CRC result: ca38, ca38

CRC result: ac9d, ac9d

CRC result: 417e, 417e

CRC result: ab70, ab70

CRC result: 33ee, 33ee

CRC result: a755, a755

CRC result: 7894, 7894

CRC result: b784, b784

CRC result: cf7b, cf7b

CRC result: 8fa5, 8fa5

CRC result: 837b, 837b

CRC result: e8ae, e8ae

CRC result: 6bd3, 6bd3

CRC result: 7d7b, 7d7b

CRC result: a67b, a67b

CRC result: 9946, 9946

CRC result: 2733, 2733

CRC result: e528, e528

CRC result: 8cd3, 8cd3

CRC result: 6a8a, 6a8a

CRC result: 67f0, 67f0

CRC result: 21d5, 21d5

CRC result: d62c, d62c

CRC result: 5f5f, 5f5f

CRC result: 5a02, 5a02

CRC result: 9888, 9888

CRC result: c304, c304

CRC result: 71da, 71da

CRC result: a40c, a40c

CRC result: e234, e234

CRC result: ee1d, ee1d

CRC result: 79ac, 79ac

CRC result: 124f, 124f

CRC result: 72bd, 72bd

CRC result: 9603, 9603

CRC result: eb1d, eb1d

CRC result: cf7e, cf7e

CRC result: bbf6, bbf6

CRC result: 1e2d, 1e2d

CRC result: 1b47, 1b47

CRC result: 7411, 7411

CRC result: fb21, fb21

CRC result: 4e28, 4e28

CRC result: f889, f889

CRC result: 32fb, 32fb

CRC result: f10f, f10f

CRC result: d368, d368

CRC result: e537, e537

CRC result: fab7, fab7

CRC result: 2799, 2799

CRC result: edb0, edb0

CRC result: f1c0, f1c0

CRC result: 3b93, 3b93

CRC result: eada, eada

CRC result: cb36, cb36

CRC result: dedd, dedd

CRC result: a819, a819

CRC result: 620d, 620d

CRC result: cdf5, cdf5

CRC result: 648c, 648c

CRC result: 52ac, 52ac

CRC result: 6e1e, 6e1e

CRC result: a487, a487

CRC result: 109d, 109d

CRC result: 73d5, 73d5

CRC result: ab9, ab9

CRC result: 47fb, 47fb

CRC result: 87c4, 87c4

CRC result: 8f2, 8f2

CRC result: 10be, 10be

CRC result: 8c51, 8c51

CRC result: de7b, de7b

CRC result: 9b65, 9b65

CRC result: a97f, a97f

CRC result: dfc0, dfc0

CRC result: be0d, be0d

CRC result: 7227, 7227

CRC result: 757e, 757e

CRC result: 1f8b, 1f8b

CRC result: e7cb, e7cb

CRC result: 52d8, 52d8

CRC result: 6c53, 6c53

CRC result: 2dd3, 2dd3

CRC result: 3fd4, 3fd4

CRC result: 2cc6, 2cc6

CRC result: d5fb, d5fb

CRC result: d137, d137

CRC result: ba1a, ba1a

CRC result: 6b76, 6b76

CRC result: 4775, 4775

CRC result: 4fe8, 4fe8

CRC result: ec47, ec47

CRC result: 4c39, 4c39

CRC result: 5f62, 5f62

CRC result: a97b, a97b

CRC result: dc98, dc98

CRC result: 2355, 2355

CRC result: 77bd, 77bd

CRC result: 6540, 6540

CRC result: d3e3, d3e3

CRC result: a4fc, a4fc

CRC result: 7261, 7261

CRC result: 1785, 1785

CRC result: 2b01, 2b01

CRC result: e819, e819

CRC result: 21, 21

CRC result: 5654, 5654

CRC result: 1616, 1616

CRC result: e47d, e47d

CRC result: 726a, 726a

CRC result: 161e, 161e

CRC result: 7e8a, 7e8a

CRC result: 8ce2, 8ce2

CRC result: 579c, 579c

CRC result: 20f4, 20f4

CRC result: 8643, 8643

CRC result: 76b4, 76b4

CRC result: d989, d989

CRC result: 18f2, 18f2

CRC result: ec77, ec77

CRC result: 43e2, 43e2

CRC result: aea, aea

CRC result: c886, c886

CRC result: 2f3, 2f3

CRC result: 9578, 9578

CRC result: 3086, 3086

CRC result: 1654, 1654

CRC result: b142, b142

CRC result: 3dae, 3dae

CRC result: 3798, 3798

CRC result: f4cd, f4cd

CRC result: 91dc, 91dc

CRC result: cadb, cadb

CRC result: cc07, cc07

CRC result: ac83, ac83

CRC result: 7a33, 7a33

CRC result: 8dad, 8dad

CRC result: 9a4a, 9a4a

CRC result: 52ba, 52ba

CRC result: 732c, 732c

CRC result: 35c3, 35c3

CRC result: 7c16, 7c16

CRC result: 3a05, 3a05

CRC result: c5a8, c5a8

CRC result: 608e, 608e

CRC result: b27d, b27d

CRC result: 831a, 831a

CRC result: 3d7d, 3d7d

CRC result: 3a42, 3a42

CRC result: 8322, 8322

CRC result: 8487, 8487

CRC result: e917, e917

CRC result: f238, f238

CRC result: 8823, 8823

CRC result: 4691, 4691

CRC result: 3eff, 3eff

CRC result: db4e, db4e

CRC result: 33bd, 33bd

CRC result: fc7f, fc7f

